,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,genre,movie_id,title
60,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,61.0,Eye for an Eye (1996)
61,,,,,,,,1,,,,,,,,,,,Drama,62.0,Mr. Holland's Opus (1995)
62,,,,,1,,,,,,,,,,,,,,Comedy,63.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
63,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,64.0,Two if by Sea (1996)
64,,,,,1,,,,,,,,,,,,,,Comedy,65.0,Bio-Dome (1996)
65,,,,,,,,,,,,,,,1,1,,,Sci-Fi|Thriller,66.0,Lawnmower Man 2: Beyond Cyberspace (1996)
66,,,,,,,,1,,,,,,,,,,,Drama,67.0,Two Bits (1995)
67,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,68.0,French Twist (Gazon maudit) (1995)
68,,,,,1,,,,,,,,,,,,,,Comedy,69.0,Friday (1995)
69,1,,,,1,1,,,,,1,,,,,1,,,Action|Comedy|Crime|Horror|Thriller,70.0,From Dusk Till Dawn (1996)
70,1,,,,,,,,,,,,,,,,,,Action,71.0,Fair Game (1995)
71,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,72.0,Kicking and Screaming (1995)
72,,,,,,,,1,,,,1,,,,,,,Drama|Musical,73.0,"Misérables, Les (1995)"
73,,,,,,,,1,,,,,,1,,,,,Drama|Romance,74.0,Bed of Roses (1996)
74,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,75.0,Big Bully (1996)
75,,,,,,,,,,,,,,,1,1,,,Sci-Fi|Thriller,76.0,Screamers (1995)
76,,,,,,,1,,,,,,,,,,,,Documentary,77.0,Nico Icon (1995)
77,,,,,,,,1,,,,,,,,,,,Drama,78.0,"Crossing Guard, The (1995)"
78,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,79.0,"Juror, The (1996)"
79,,,,,,,,1,,,,,,,,,,,Drama,80.0,"White Balloon, The (Badkonake Sefid ) (1995)"
80,,,,,,1,,1,,,,,,1,,,,,Crime|Drama|Romance,81.0,Things to Do in Denver when You're Dead (1995)
81,,,,,,,,1,,,,,,,,,,,Drama,82.0,Antonia's Line (Antonia) (1995)
82,,,,,,,,1,,,,,,,,,,,Drama,83.0,Once Upon a Time... When We Were Colored (1995)
83,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,84.0,Last Summer in the Hamptons (1995)
84,,,,,,,,1,,,,,,1,,,,,Drama|Romance,85.0,Angels and Insects (1995)
85,,1,,,,,,1,,,,,,,,,,,Adventure|Drama,86.0,White Squall (1996)
86,,,,1,1,,,,,,,,,,,,,,Children's|Comedy,87.0,Dunston Checks In (1996)
87,,,,,1,,,,,,,,,,,,,,Comedy,88.0,Black Sheep (1996)
88,1,,,,,,,,,,,,,,,1,,,Action|Thriller,89.0,Nick of Time (1995)
89,,,,,,,,1,,,,,,,,,,,Drama,90.0,"Journey of August King, The (1995)"
90,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,92.0,Mary Reilly (1996)
91,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,93.0,Vampire in Brooklyn (1995)
92,,,,,,,,1,,,,,,,,,,,Drama,94.0,Beautiful Girls (1996)
93,1,,,,,,,,,,,,,,,1,,,Action|Thriller,95.0,Broken Arrow (1996)
94,,,,,1,,,,,,,,,,,,,,Comedy,96.0,In the Bleak Midwinter (1995)
95,,,,,,,,1,,,,,,,,,,,Drama,97.0,"Hate (Haine, La) (1995)"
96,1,,,,,,,,,,,,,,,1,,,Action|Thriller,98.0,Shopping (1994)
97,,,,,,,1,,,,,,,,,,,,Documentary,99.0,Heidi Fleiss: Hollywood Madam (1995)
98,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,100.0,City Hall (1996)
99,,,,,1,,,,,,,,,,,,,,Comedy,101.0,Bottle Rocket (1996)
100,,,,,1,,,,,,,,,,,,,,Comedy,102.0,Mr. Wrong (1996)
101,,,,,,,,,,,,,,,,1,,,Thriller,103.0,Unforgettable (1996)
102,,,,,1,,,,,,,,,,,,,,Comedy,104.0,Happy Gilmore (1996)
103,,,,,,,,1,,,,,,1,,,,,Drama|Romance,105.0,"Bridges of Madison County, The (1995)"
104,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,106.0,Nobody Loves Me (Keiner liebt mich) (1994)
105,,1,,1,1,,,,,,,1,,,,,,,Adventure|Children's|Comedy|Musical,107.0,Muppet Treasure Island (1996)
106,,,,,,,1,,,,,,,,,,,,Documentary,108.0,Catwalk (1995)
107,,,,,1,,,,,,,,,,,,,,Comedy,109.0,Headless Body in Topless Bar (1995)
108,1,,,,,,,1,,,,,,,,,1,,Action|Drama|War,110.0,Braveheart (1995)
109,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,111.0,Taxi Driver (1976)
110,1,1,,,,1,,,,,,,,,,,,,Action|Adventure|Crime,112.0,Rumble in the Bronx (1995)
111,,,,,,,,1,,,,,1,,,,,,Drama|Mystery,113.0,Before and After (1996)
112,,,,,,,,1,,,,,,,,,,,Drama,114.0,Margaret's Museum (1995)
113,,,,,1,,,,,,,,,,,,,,Comedy,115.0,Happiness Is in the Field (1995)
114,,,,,,,1,,,,,,,,,,,,Documentary,116.0,Anne Frank Remembered (1995)
115,,,,,,1,,,,,,,,,,,,,Crime,117.0,"Young Poisoner's Handbook, The (1995)"
116,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,118.0,If Lucy Fell (1996)
117,,,,,1,,,,,,,,,,,,,,Comedy,119.0,"Steal Big, Steal Little (1995)"
118,,,,,,,,1,,,,,,,,,,,Drama,120.0,Race the Sun (1996)
119,,,,,,,,1,,,,,,,,,,,Drama,121.0,"Boys of St. Vincent, The (1993)"
120,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,122.0,Boomerang (1992)
121,,,,,,,,1,,,,,1,1,,,,,Drama|Mystery|Romance,123.0,Chungking Express (1994)
122,,,,,,,,1,,,,,,,,,,,Drama,124.0,"Star Maker, The (Uomo delle stelle, L') (1995)"
123,,,,,1,,,,,,,,,,,,,,Comedy,125.0,Flirting With Disaster (1996)
124,,1,,1,,,,,1,,,,,,,,,,Adventure|Children's|Fantasy,126.0,"NeverEnding Story III, The (1994)"
125,,,,,,,,1,,,,,,,,,,,Drama,127.0,"Silence of the Palace, The (Saimt el Qusur) (1994)"
126,,,,,,,1,,,,,,,,,,,,Documentary,128.0,Jupiter's Wife (1994)
127,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,129.0,Pie in the Sky (1995)
128,,,,,,,,1,,,,,,,,,,,Drama,130.0,Angela (1995)
129,,,,,,,,1,,,,,,1,,,,,Drama|Romance,131.0,Frankie Starlight (1995)
130,,,,,,,,,,,,,,,,1,,,Thriller,132.0,Jade (1995)
131,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,133.0,Nueba Yol (1995)
132,,,,,,,1,,,,,,,,,,,,Documentary,134.0,Sonic Outlaws (1995)
133,,,,,1,,,,,,,,,,,,,,Comedy,135.0,Down Periscope (1996)
134,,,,,,,1,,,,,,,,,,,,Documentary,136.0,From the Journals of Jean Seberg (1995)
135,,,,,,,1,,,,,,,,,,,,Documentary,137.0,Man of the Year (1995)
136,,,,,,,,1,,,,,,,,,,,Drama,138.0,"Neon Bible, The (1995)"
137,1,,,,,,,1,,,,,,,,,,,Action|Drama,139.0,Target (1995)
138,,,,,,,,1,,,,,,1,,,,,Drama|Romance,140.0,Up Close and Personal (1996)
139,,,,,1,,,,,,,,,,,,,,Comedy,141.0,"Birdcage, The (1996)"
140,,,,,,,,1,,,,,,,,,,,Drama,142.0,Shadows (Cienie) (1988)
141,,,,,,,,1,,,,,,,,,,,Drama,143.0,Gospa (1995)
142,,,,,1,,,,,,,,,,,,,,Comedy,144.0,"Brothers McMullen, The (1995)"
143,1,,,,,,,,,,,,,,,,,,Action,145.0,Bad Boys (1995)
144,,1,,1,,,,,,,,,,,,,,,Adventure|Children's,146.0,"Amazing Panda Adventure, The (1995)"
145,,,,,,,,1,,,,,,,,,,,Drama,147.0,"Basketball Diaries, The (1995)"
146,,,,,,,,1,,,,,,,,,,,Drama,148.0,"Awfully Big Adventure, An (1995)"
147,,,,,,1,,1,,,,,,,,1,,,Crime|Drama|Thriller,149.0,Amateur (1994)
148,,,,,,,,1,,,,,,,,,,,Drama,150.0,Apollo 13 (1995)
149,,,,,,,,1,,,,,,1,,,1,,Drama|Romance|War,151.0,Rob Roy (1995)
150,,,,,,,,,,,1,,,,,,,,Horror,152.0,"Addiction, The (1995)"
151,1,1,,,1,1,,,,,,,,,,,,,Action|Adventure|Comedy|Crime,153.0,Batman Forever (1995)
152,,,,,,,,1,,,,,,,,,,,Drama,154.0,Belle de jour (1967)
153,,,,,,,,1,,,,,,,,,1,,Drama|War,155.0,Beyond Rangoon (1995)
154,,,,,1,,,,,,,,,,,,,,Comedy,156.0,Blue in the Face (1995)
155,,,,,1,,,,,,,,,,,,1,,Comedy|War,157.0,Canadian Bacon (1994)
156,,1,,1,,,,,,,,,,,,,,,Adventure|Children's,158.0,Casper (1995)
157,,,,,,,,1,,,,,,,,,,,Drama,159.0,Clockers (1995)
158,1,1,,,,,,,,,,,1,,1,,,,Action|Adventure|Mystery|Sci-Fi,160.0,Congo (1995)
159,,,,,,,,1,,,,,,,,1,1,,Drama|Thriller|War,161.0,Crimson Tide (1995)
160,,,,,,,1,,,,,,,,,,,,Documentary,162.0,Crumb (1994)
161,1,,,,,,,,,,,,,1,,1,,,Action|Romance|Thriller,163.0,Desperado (1995)
162,,,,,,1,,,,1,,,1,,,1,,,Crime|Film-Noir|Mystery|Thriller,164.0,Devil in a Blue Dress (1995)
163,1,,,,,,,,,,,,,,,1,,,Action|Thriller,165.0,Die Hard: With a Vengeance (1995)
164,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,166.0,"Doom Generation, The (1995)"
165,,,,,,,,1,,,,,,,,,,,Drama,167.0,Feast of July (1995)
166,1,1,,,,,,1,,,,,,1,,,,,Action|Adventure|Drama|Romance,168.0,First Knight (1995)
167,,1,,1,,,,1,,,,,,,,,,,Adventure|Children's|Drama,169.0,Free Willy 2: The Adventure Home (1995)
168,1,,,,,1,,,,,,,,,,1,,,Action|Crime|Thriller,170.0,Hackers (1995)
169,,,,,1,,,,,,,,,,,,,,Comedy,171.0,Jeffrey (1995)
170,1,,,,,,,,,,,,,,1,1,,,Action|Sci-Fi|Thriller,172.0,Johnny Mnemonic (1995)
171,1,1,,,,,,,,,,,,,1,,,,Action|Adventure|Sci-Fi,173.0,Judge Dredd (1995)
172,,,,,1,,,,,,,,,,,,,,Comedy,174.0,Jury Duty (1995)
173,,,,,,,,1,,,,,,,,,,,Drama,175.0,Kids (1995)
174,,,,,1,,,,,,,,,,,,,,Comedy,176.0,Living in Oblivion (1995)
175,,,,,,,,,,,1,,,,,,,,Horror,177.0,Lord of Illusions (1995)
176,,,,,1,,,,,,,,,,,,,,Comedy,178.0,Love & Human Remains (1993)
177,,,,,,,,1,,,,,,1,,,,,Drama|Romance,179.0,Mad Love (1995)
178,,,,,1,,,,,,,,,,,,,,Comedy,180.0,Mallrats (1995)
179,1,,,1,,,,,,,,,,,,,,,Action|Children's,181.0,Mighty Morphin Power Rangers: The Movie (1995)
180,,,,,,,,1,,,,,,1,,,,,Drama|Romance,182.0,Moonlight and Valentino (1995)
181,,,,,,,,,,,,,,,,1,,,Thriller,183.0,Mute Witness (1994)
182,,,,,,,,1,,,,,,,,,,,Drama,184.0,Nadja (1994)
183,,,,,,,,,,,,,,,1,1,,,Sci-Fi|Thriller,185.0,"Net, The (1995)"
184,,,,,1,,,,,,,,,,,,,,Comedy,186.0,Nine Months (1995)
185,,,,,1,,,,,,,,,,,,,,Comedy,187.0,Party Girl (1995)
186,,,,,,,,,,,1,,,,,,,,Horror,188.0,"Prophecy, The (1995)"
187,,,,,1,,,,,,,,,,,,,,Comedy,189.0,Reckless (1995)
188,,,,,,,,,,,,,,,,1,,,Thriller,190.0,Safe (1995)
189,,,,,,,,1,,,,,,,,,,,Drama,191.0,"Scarlet Letter, The (1995)"
190,,,,,,,1,,,,,,,,,,,,Documentary,192.0,"Show, The (1995)"
191,,,,,,,,1,,,,,,,,,,,Drama,193.0,Showgirls (1995)
192,,,,,,,,1,,,,,,,,,,,Drama,194.0,Smoke (1995)
193,,,,,1,,,1,,,,,,1,,,,,Comedy|Drama|Romance,195.0,Something to Talk About (1995)
194,,,,,,,,,,,1,,,,1,,,,Horror|Sci-Fi,196.0,Species (1995)
195,,,,,,,,1,,,,,,,,,,,Drama,197.0,"Stars Fell on Henrietta, The (1995)"
196,1,,,,,1,,,,,,,,,1,,,,Action|Crime|Sci-Fi,198.0,Strange Days (1995)
197,,,,,,,,1,,,,1,,,,,,,Drama|Musical,199.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
198,,,,,,,,,,,,,,,,1,,,Thriller,200.0,"Tie That Binds, The (1995)"
199,,,,,,,,1,,,,,,,,,,,Drama,201.0,Three Wishes (1995)
200,,,,,,,,1,,,,,,1,,,,,Drama|Romance,202.0,Total Eclipse (1995)
201,,,,,1,,,,,,,,,,,,,,Comedy,203.0,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
202,1,,,,,,,,,,,,,,,,,,Action,204.0,Under Siege 2: Dark Territory (1995)
203,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,205.0,Unstrung Heroes (1995)
204,,,,,,,1,,,,,,,,,,,,Documentary,206.0,Unzipped (1995)
205,,,,,,,,1,,,,,,1,,,,,Drama|Romance,207.0,"Walk in the Clouds, A (1995)"
206,1,1,,,,,,,,,,,,,,,,,Action|Adventure,208.0,Waterworld (1995)
207,,,,,,,,1,,,,,,,,,,,Drama,209.0,White Man's Burden (1995)
208,,,,,,,,,,,,,,,,,,1,Western,210.0,Wild Bill (1995)
209,,,,,,,,1,,,,,,,,,,,Drama,211.0,"Browning Version, The (1994)"
210,,,,,1,,,,,,,,,,,,,,Comedy,212.0,Bushwhacked (1995)
211,,,,,,,,1,,,,,,,,,,,Drama,213.0,Burnt By the Sun (Utomlyonnye solntsem) (1994)
212,,,,,,,,1,,,,,,,,,,,Drama,214.0,Before the Rain (Pred dozhdot) (1994)
213,,,,,,,,1,,,,,,1,,,,,Drama|Romance,215.0,Before Sunrise (1995)
214,,,,,1,,,,,,,,,,,,,,Comedy,216.0,Billy Madison (1995)
215,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,217.0,"Babysitter, The (1995)"
216,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,218.0,Boys on the Side (1995)
217,,,,,,,,1,,,,,,,,,,,Drama,219.0,"Cure, The (1995)"
218,,,,,,,,,,,1,,,,,,,,Horror,220.0,Castle Freak (1995)
219,,,,,,,,1,,,,,,1,,,,,Drama|Romance,222.0,Circle of Friends (1995)
220,,,,,1,,,,,,,,,,,,,,Comedy,223.0,Clerks (1994)
221,,,,,1,,,1,,,,,,1,,,,,Comedy|Drama|Romance,224.0,Don Juan DeMarco (1995)
222,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,225.0,Disclosure (1994)
223,,,,,,,,,,,,,,,,1,,,Thriller,226.0,Dream Man (1995)
224,1,,,,,,,,,,,,,,,,,,Action,227.0,Drop Zone (1994)
225,,,,,1,,,,,,,,,,,,,,Comedy,228.0,Destiny Turns on the Radio (1995)
226,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,229.0,Death and the Maiden (1994)
227,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,230.0,Dolores Claiborne (1994)
228,,,,,1,,,,,,,,,,,,,,Comedy,231.0,Dumb & Dumber (1994)
229,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,232.0,Eat Drink Man Woman (1994)
230,,,,,,,,1,,,,,,,,,,,Drama,233.0,Exotica (1994)
231,,,,,1,,,,,,,,,,,,,,Comedy,234.0,Exit to Eden (1994)
232,,,,,1,,,1,,,,,,,,,,,Comedy|Drama,235.0,Ed Wood (1994)
233,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,236.0,French Kiss (1995)
234,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,237.0,Forget Paris (1995)
235,,1,,1,,,,,,,,,,,,,,,Adventure|Children's,238.0,Far From Home: The Adventures of Yellow Dog (1995)
236,,,1,1,1,,,,,,,,,1,,,,,Animation|Children's|Comedy|Romance,239.0,"Goofy Movie, A (1995)"
237,,,,,,,,,,,,,,,,1,,,Thriller,240.0,Hideaway (1995)
238,,,,1,,,,1,,,,,,,,,,,Children's|Drama,241.0,Fluke (1995)
239,,,,,,,,1,,,,1,,,,,,,Drama|Musical,242.0,Farinelli: il castrato (1994)
240,,,,,1,,,,,,,,,,,,,,Comedy,243.0,Gordy (1995)
241,,,1,1,,,,,,,,,,,,,,,Animation|Children's,244.0,Gumby: The Movie (1995)
242,,,,,,1,,1,,,,,,,,,,,Crime|Drama,245.0,"Glass Shield, The (1994)"
243,,,,,,,1,,,,,,,,,,,,Documentary,246.0,Hoop Dreams (1994)
244,,,,,,,,1,1,,,,,1,,1,,,Drama|Fantasy|Romance|Thriller,247.0,Heavenly Creatures (1994)
245,,,,,1,,,,,,,,,,,,,,Comedy,248.0,Houseguest (1994)
246,,,,,,,,1,,,,,,1,,,,,Drama|Romance,249.0,Immortal Beloved (1994)
247,,,,1,1,,,,,,,,,,,,,,Children's|Comedy,250.0,Heavyweights (1994)
248,1,,,,,,,,,,,,,,,,,,Action,251.0,"Hunted, The (1995)"
249,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,252.0,I.Q. (1994)
250,,,,,,,,1,,,1,,,,,,,,Drama|Horror,253.0,Interview with the Vampire (1994)
251,,,,,,,,1,,,,,,,,,,,Drama,254.0,Jefferson in Paris (1995)
252,,,,,1,,,,,,,,,,,,,,Comedy,255.0,"Jerky Boys, The (1994)"
253,,,,,1,,,,,,,,,,1,,,,Comedy|Sci-Fi,256.0,Junior (1994)
254,,,,,,,,,,,,,1,,,1,,,Mystery|Thriller,257.0,Just Cause (1995)
255,,1,,1,1,,,,1,,,,,1,,,,,Adventure|Children's|Comedy|Fantasy|Romance,258.0,"Kid in King Arthur's Court, A (1995)"
256,,,,,,1,,1,,,,,,,,1,,,Crime|Drama|Thriller,259.0,Kiss of Death (1995)
257,1,1,,,,,,,1,,,,,,1,,,,Action|Adventure|Fantasy|Sci-Fi,260.0,Star Wars: Episode IV - A New Hope (1977)
258,,,,,,,,1,,,,,,,,,,,Drama,261.0,Little Women (1994)
259,,,,1,,,,1,,,,,,,,,,,Children's|Drama,262.0,"Little Princess, A (1995)"
260,,,,,,,,1,,,,,,,,,,,Drama,263.0,Ladybird Ladybird (1994)
261,,,,,,,,1,,,,,,,,,,,Drama,264.0,"Enfer, L' (1994)"
262,,,,,,,,1,,,,,,1,,,,,Drama|Romance,265.0,Like Water for Chocolate (Como agua para chocolate) (1992)
263,,,,,,,,1,,,,,,1,,,1,1,Drama|Romance|War|Western,266.0,Legends of the Fall (1994)
264,,,,,1,,,,,,,,,,,,,,Comedy,267.0,Major Payne (1994)
265,,,,,,,,1,,,,,,,,,,,Drama,268.0,Little Odessa (1994)
266,,,,,,,,1,,,,,,,,,,,Drama,269.0,My Crazy Life (Mi vida loca) (1993)
267,,,,,,,,1,,,,,,1,,,,,Drama|Romance,270.0,Love Affair (1994)
268,,,,,,,,1,,,,,,,,,,,Drama,271.0,Losing Isaiah (1995)
269,,,,,,,,1,,,,,,,,,,,Drama,272.0,"Madness of King George, The (1994)"
270,,,,,,,,1,,,1,,,,,,,,Drama|Horror,273.0,Mary Shelley's Frankenstein (1994)
271,,,,,1,,,,,,,,,,,,,,Comedy,274.0,Man of the House (1995)
272,,,,,1,,,,,,,,,,,,,,Comedy,275.0,Mixed Nuts (1994)
273,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,276.0,Milk Money (1994)
274,,,,,,,,1,,,,,,,,,,,Drama,277.0,Miracle on 34th Street (1994)
275,,,,,1,,,,,,,,,,,,,,Comedy,278.0,Miami Rhapsody (1995)
276,,,,,,,,1,,,,,,,,,,,Drama,279.0,My Family (1995)
277,,,,,,,,1,,,,,,,,1,,,Drama|Thriller,280.0,Murder in the First (1995)
278,,,,,,,,1,,,,,,,,,,,Drama,281.0,Nobody's Fool (1994)
279,,,,,,,,1,,,,,,,,,,,Drama,282.0,Nell (1994)
280,,,,,,1,,1,,,,,,,,,,,Crime|Drama,283.0,New Jersey Drive (1995)
281,1,,,,,1,,,,,,,,,,,,,Action|Crime,284.0,New York Cop (1996)
282,,,,,,,,1,,,1,,,,,,,,Drama|Horror,285.0,Beyond Bedlam (1993)
283,1,,,,,,,,,,,,,,1,1,,,Action|Sci-Fi|Thriller,286.0,Nemesis 2: Nebula (1995)
284,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,287.0,Nina Takes a Lover (1994)
285,1,,,,,,,,,,,,,,,1,,,Action|Thriller,288.0,Natural Born Killers (1994)
286,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,289.0,Only You (1994)
287,,,,,,1,,1,,,,,,,,,,,Crime|Drama,290.0,Once Were Warriors (1994)
288,,,,,,,,,,,,,,,,1,,,Thriller,291.0,Poison Ivy II (1995)
289,1,,,,,,,1,,,,,,,,1,,,Action|Drama|Thriller,292.0,Outbreak (1995)
290,,,,,,1,,1,,,,,,1,,1,,,Crime|Drama|Romance|Thriller,293.0,"Professional, The (a.k.a. Leon: The Professional) (1994)"
291,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,294.0,"Perez Family, The (1995)"
292,,,,,1,,,,,,,,,1,,,,,Comedy|Romance,295.0,"Pyromaniac's Love Story, A (1995)"
293,,,,,,1,,1,,,,,,,,,,,Crime|Drama,296.0,Pulp Fiction (1994)
294,,,,,,,,1,,,,,,,,,,,Drama,297.0,Panther (1995)
